,Country,Link,Desired_Table,Total_Men,Total_Women
59,Fiji,https://en.wikipedia.org/wiki/Fiji_at_the_2020_Summer_Olympics,"          Sport  Men  Women  Total
0     Athletics    1      0      1
1          Judo    1      0      1
2  Rugby sevens   12     12     24
3       Sailing    0      1      1
4      Swimming    1      1      2
5  Table tennis    0      1      1
6         Total   15     15     30",15,15
60,Finland,https://en.wikipedia.org/wiki/Finland_at_the_2020_Summer_Olympics,"            Sport  Men  Women  Total
0         Archery    1      0      1
1       Athletics    9     12     21
2       Badminton    1      0      1
3          Boxing    0      1      1
4      Equestrian    1      0      1
5            Golf    2      2      4
6         Sailing    2      3      5
7        Shooting    2      1      3
8   Skateboarding    0      1      1
9        Swimming    2      3      5
10      Wrestling    2      0      2
11          Total   22     23     45",22,23
61,France,https://en.wikipedia.org/wiki/France_at_the_2020_Summer_Olympics,"                Sport  Men  Women  Total
0             Archery    3      1      4
1   Artistic swimming    —      2      2
2           Athletics   42     19     61
3           Badminton    2      2      4
4          Basketball   12     16     28
5              Boxing    4      1      5
6            Canoeing    6      6     12
7             Cycling   18     12     30
8              Diving    2      1      3
9          Equestrian    9      3     12
10            Fencing    9      9     18
11           Football   18      0     18
12               Golf    2      2      4
13         Gymnastics    4      5      9
14           Handball   15     16     31
15               Judo    6      7     13
16             Karate    1      2      3
17  Modern pentathlon    2      2      4
18             Rowing    4      8     12
19       Rugby sevens    0     12     12
20            Sailing    7      7     14
21           Shooting    4      6     10
22      Skateboarding    3      2      5
23     Sport climbing    2      2      4
24            Surfing    2      2      4
25           Swimming   16     11     27
26       Table tennis    3      3      6
27             Tennis    6      4     10
28          Taekwondo    0      2      2
29          Triathlon    3      2      5
30         Volleyball   12      0     12
31      Weightlifting    1      3      4
32          Wrestling    0      2      2
33              Total  222    172    393",222,172
62,Gabon,https://en.wikipedia.org/wiki/Gabon_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1       Judo    0      1      1
2   Swimming    1      1      2
3  Taekwondo    1      0      1
4      Total    3      2      5",3,2
63,The Gambia,https://en.wikipedia.org/wiki/The_Gambia_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      1      2
1       Judo    1      0      1
2   Swimming    1      0      1
3      Total    3      1      4",3,1
64,Georgia,https://en.wikipedia.org/wiki/Georgia_at_the_2020_Summer_Olympics,"            Sport  Men  Women  Total
0       Athletics    4      1      5
1          Boxing    3      0      3
2         Fencing    1      0      1
3      Gymnastics    0      1      1
4            Judo    7      2      9
5          Karate    1      0      1
6        Shooting    0      1      1
7        Swimming    1      1      2
8          Tennis    1      0      1
9   Weightlifting    4      0      4
10      Wrestling    7      0      7
11          Total   29      6     35",29,6
65,Ghana,https://en.wikipedia.org/wiki/Ghana_at_the_2020_Summer_Olympics,"           Sport  Men  Women  Total
0      Athletics    6      1      7
1         Boxing    3      0      3
2           Judo    1      0      1
3       Swimming    1      1      2
4  Weightlifting    1      0      1
5          Total   12      2     14",12,2
66,Great Britain,https://en.wikipedia.org/wiki/Great_Britain_at_the_2020_Summer_Olympics,"                Sport  Men  Women  Total
0             Archery    3      3      6
1   Artistic swimming    —      2      2
2           Athletics   37     40     77
3           Badminton    4      3      7
4              Boxing    7      4     11
5            Canoeing    3      5      8
6             Cycling   15     11     26
7              Diving    6      6     12
8          Equestrian    5      4      9
9             Fencing    1      0      1
10       Field hockey   16     16     32
11           Football    0     18     18
12               Golf    2      2      4
13         Gymnastics    4      6     10
14               Judo    1      5      6
15  Modern pentathlon    2      2      4
16             Rowing   19     22     41
17       Rugby sevens   12     12     24
18            Sailing    8      7     15
19           Shooting    2      3      5
20      Skateboarding    0      2      2
21     Sport climbing    0      1      1
22           Swimming   18     14     32
23       Table tennis    2      1      3
24          Taekwondo    2      3      5
25             Tennis    5      1      6
26          Triathlon    2      3      5
27      Weightlifting    0      4      4
28              Total  176    200    376",176,200
67,Greece,https://en.wikipedia.org/wiki/Greece_at_the_2020_Summer_Olympics,"                Sport Men  Women  Total
0             Archery   0      1      1
1   Artistic swimming   —      9      9
2           Athletics   8     12     20
3             Cycling   3      0      3
4             Fencing   0      1      1
5          Gymnastics   1      0      1
6                Judo   1      1      2
7              Rowing   1      3      4
8             Sailing   4      4      8
9            Shooting   1      1      2
10           Swimming  10      2     12
11       Table tennis   1      0      1
12          Taekwondo   0      1      1
13             Tennis   1      1      2
14         Water polo  13      0     13
15      Weightlifting   1      0      1
16          Wrestling   1      1      2
17              Total  46     37     83",46,37
68,Grenada,https://en.wikipedia.org/wiki/Grenada_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    3      1      4
1   Swimming    1      1      2
2      Total    4      2      6",4,2
